Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set Temperature,Setpoint 37°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preheat before moving to next step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Kinetic,"Runtime 1:30:00 (HH:MM:SS), Interval 0:15:00, 7 Reads",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read,Fluorescence Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Excitation: 560, Emission: 590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Optics: Top, Gain: 70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Light Source: Xenon Flash, Lamp Energy: High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Read Speed: Normal, Delay: 100 msec, Measurements/Data Point: 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Read Height: 7 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Kinetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time,"T° 560,590",A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,00:00:00,25,5,0,0,2,1,0,10,0,13,0,13,0,778,3221,3281,3186,3172,3148,3108,2874,3216,2917,3608,7,1121,3091,3020,3150,2981,2878,2998,3194,3109,2971,4111,3,1055,2921,3186,3074,3025,2923,3114,2970,3235,2751,2953,5,11,2828,3193,3149,3149,3082,3034,2771,2692,2751,2894,5,0,3097,3027,2708,2758,2812,2789,2649,2757,2660,2400,0,3,2578,2481,2770,2567,2746,2670,2478,2630,2642,2431,3,0,0,2,6,0,16,3,2,0,11,1,0
,00:15:00,35.1,3,0,1,0,10,5,8,6,4,6,4,9,974,5535,5890,5346,5794,6008,5654,5045,5654,5226,3810,0,1286,5399,5453,5559,5460,5603,5500,5602,5437,5338,4308,0,1158,5106,5618,5448,5804,5200,5939,5375,5649,5105,3211,1,2,4949,5328,5387,5656,5400,5364,4977,4800,4871,3039,16,0,5325,5374,5003,5040,5254,5238,4550,5059,4831,2599,5,14,4485,4654,4978,4698,5188,5038,4664,4923,4671,2691,0,0,12,4,0,13,29,3,0,5,1,7,0
,00:30:00,37,4,1,0,6,7,0,16,4,0,0,0,5,1128,8791,9222,8130,9031,9242,8961,7712,8394,7745,3862,0,1430,8030,8186,8108,8448,8079,8501,8396,7951,8014,4293,18,1210,7220,8621,8176,9027,7752,8959,7610,8182,7390,3282,13,8,7061,7682,7836,8953,8481,7968,7311,7194,7196,3048,0,6,7710,7853,7862,8080,8345,8264,7083,7824,7292,2610,5,8,6659,7341,7772,7122,7957,7718,7251,7306,6780,2640,0,0,0,6,0,0,15,1,1,2,18,0,2
,00:45:00,37,8,0,2,0,8,8,0,0,14,3,10,0,1178,11657,11923,11043,11604,11882,11112,9914,10447,9808,3938,10,1460,10454,10783,10600,11435,11441,10908,10826,10322,10737,4405,0,1210,9610,11111,10938,11776,10197,11378,10132,10456,9564,3302,0,8,9369,9951,10335,11452,11620,9752,9600,9180,9513,3117,5,2,10314,10726,11061,10617,11205,11383,9518,10290,9754,2640,5,16,9367,9968,10767,9940,10992,10289,9245,9220,8945,2726,7,7,6,4,0,0,0,0,0,22,0,3,1
,01:00:00,36.9,8,0,0,0,0,5,0,0,12,2,5,7,1227,13536,13876,13265,13703,13788,12902,11320,11725,11318,3929,0,1473,12429,12909,12742,13301,12621,12485,12640,12044,12436,4443,11,1220,11900,12841,12993,14375,12233,12968,12363,12518,11260,3316,1,9,11289,11540,12239,13563,12809,11355,11779,11003,11360,3176,0,0,12369,12725,12786,13076,13094,13974,11402,12174,11757,2680,20,14,11289,11809,12930,12032,13288,12365,10670,10510,10320,2758,0,3,12,0,2,4,1,6,2,7,3,0,3
,01:15:00,37,6,7,0,6,0,1,11,0,6,4,7,0,1234,14756,15192,14534,14549,14629,13926,12312,12582,11943,3932,0,1508,13444,13738,13747,14213,13881,13907,13779,12348,13118,4441,13,1243,12651,13760,14353,14659,13661,13758,13508,13343,11999,3369,4,1,12282,12218,13473,15506,14582,11982,12697,12034,12363,3208,0,14,13206,13437,15024,13597,14963,15049,12558,12853,12639,2737,8,0,12422,13362,14293,13677,14286,13198,10979,11149,11099,2817,12,3,9,4,0,0,5,18,0,9,5,8,5
,01:30:00,37,17,5,0,0,0,11,6,0,9,15,8,4,1278,14852,15638,15148,14814,14589,14205,12673,12636,11990,3980,8,1531,13898,13735,13624,13672,13413,13383,13552,12545,13082,4417,2,1261,12723,13688,14489,14324,13010,13564,12943,13253,12135,3381,0,2,12841,12396,12754,13958,13517,11581,12498,12040,12778,3231,16,8,13654,14002,14317,13558,14182,15168,12662,13283,13002,2775,9,3,13124,13770,14612,13973,14743,13721,11551,11503,11365,2846,8,6,15,5,0,3,0,0,8,0,13,2,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,733.333,466.667,133.333,400,600,666.667,-1066.667,400,933.333,733.333,666.667,600,"Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,1,1,1,1,1,1,1,1,1,1,"R-Squared [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01:22:30,01:07:30,00:37:30,00:22:30,00:07:30,01:22:30,00:37:30,00:07:30,00:37:30,01:22:30,00:37:30,00:07:30,"t at Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01:13:38,01:00:00,00:30:00,00:20:00,00:00:00,01:13:30,00:35:38,00:00:00,00:43:56,01:09:33,00:49:30,00:00:00,"Lagtime [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B,13066.667,217066.667,222133.333,194200,215800,215600,220466.667,177800,182666.667,167933.333,13466.667,666.667,"Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,1,1,1,1,1,1,1,1,1,1,"R-Squared [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00:07:30,00:22:30,00:22:30,00:37:30,00:22:30,00:22:30,00:22:30,00:22:30,00:22:30,00:22:30,00:07:30,00:37:30,"t at Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00:00:00,00:04:20,00:03:15,00:04:33,00:02:51,00:01:44,00:03:27,00:02:47,00:01:39,00:01:15,00:00:00,00:40:30,"Lagtime [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,11000,175400,182200,169933.333,199200,224133.333,200066.667,186266.667,167600,181533.333,13133.333,1200,"Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,1,1,1,1,1,1,1,1,1,1,"R-Squared [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00:07:30,00:22:30,00:22:30,00:22:30,00:22:30,00:37:30,00:22:30,00:22:30,00:22:30,00:37:30,00:07:30,00:22:30,"t at Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00:00:00,00:01:50,00:01:39,00:00:49,00:02:33,00:06:48,00:02:30,00:02:04,00:01:07,00:02:13,00:00:00,00:17:30,"Lagtime [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,6866.667,159333.333,200200,184133.333,214866.667,170133.333,201333.333,168133.333,168866.667,156933.333,17200,-866.667,"Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,1,1,1,1,1,1,1,1,1,1,"R-Squared [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00:07:30,00:37:30,00:22:30,00:37:30,00:22:30,00:22:30,00:22:30,00:37:30,00:22:30,00:07:30,00:07:30,00:37:30,"t at Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00:00:00,00:03:01,00:02:51,00:02:18,00:02:04,00:01:37,00:00:58,00:02:24,00:00:42,00:00:00,00:00:00,00:39:14,"Lagtime [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,-600,153866.667,156933.333,166600,219800,209266.667,173600,155600,159600,155000,9666.667,-1066.667,"Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,1,1,1,1,1,1,1,1,1,1,"R-Squared [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00:07:30,00:37:30,00:22:30,00:37:30,00:22:30,00:37:30,00:22:30,00:22:30,00:22:30,00:22:30,00:07:30,00:22:30,"t at Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00:00:00,00:02:29,00:01:24,00:01:52,00:03:36,00:04:12,00:01:35,00:00:49,00:01:48,00:01:19,00:00:00,00:25:19,"Lagtime [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,933.333,173600,191533.333,213266.667,202666.667,206066.667,207933.333,168866.667,184333.333,164133.333,13266.667,1000,"Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,1,1,1,1,1,1,1,1,1,1,"R-Squared [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01:07:30,00:37:30,00:37:30,00:37:30,00:22:30,00:22:30,00:37:30,00:22:30,00:22:30,00:37:30,00:07:30,00:52:30,"t at Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01:00:00,00:03:26,00:04:48,00:05:50,00:03:44,00:03:09,00:03:40,00:03:45,00:02:31,00:01:47,00:00:00,00:40:00,"Lagtime [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G,-933.333,180533.333,179133.333,199666.667,187866.667,202333.333,178666.667,172466.667,158866.667,144333.333,17333.333,800,"Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,1,1,1,1,1,1,1,1,1,1,"R-Squared [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01:07:30,00:37:30,00:22:30,00:37:30,00:37:30,00:37:30,00:22:30,00:22:30,00:22:30,00:37:30,00:07:30,01:07:30,"t at Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01:11:47,00:07:24,00:02:52,00:04:57,00:05:45,00:04:15,00:01:45,00:02:20,00:00:34,00:01:20,00:00:00,01:03:45,"Lagtime [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H,466.667,800,-266.667,-400,866.667,-1000,-1200,533.333,1333.333,-1200,533.333,333.333,"Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,1,1,1,1,1,1,1,1,1,1,"R-Squared [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00:37:30,00:07:30,00:52:30,00:07:30,00:07:30,00:37:30,01:22:30,01:22:30,00:37:30,00:37:30,01:07:30,01:22:30,"t at Max V [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00:30:00,00:00:00,00:52:30,00:00:00,00:00:00,00:29:00,01:27:30,01:18:45,00:28:30,00:35:50,01:01:53,01:00:00,"Lagtime [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,"Bitmap [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,"Bitmap [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,"Bitmap [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,"Bitmap [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,"Bitmap [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,"Bitmap [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,,,,,,,,,,,,,"Bitmap [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,"Bitmap [560,590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 min,blank,0,10uM,25uM,50uM,75uM,100uM,0,0,0,0.001,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,778,3221,3281,3186,3172,3148,3108,2874,3216,2917,3608,7,"560,590 Read#1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1121,3091,3020,3150,2981,2878,2998,3194,3109,2971,4111,3,"560,590 Read#1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
